rank,university_name,country
1501+,Van Yüzüncü Yil University,Turkey
1501+,Vasyl Stefanyk Precarpathian National University,Ukraine
1501+,Vietnam National University,Vietnam
1501+,"Vignan’s Foundation for Science, Technology and Research",India
1501+,Vinayaka Mission’s Research Foundation,India
1501+,V.N. Karazin Kharkiv National University,Ukraine
1501+,Volgograd State Medical University,Russian Federation
1501+,Volgograd State Technical University,Russian Federation
1501+,Volgograd State University,Russian Federation
1501+,Voronezh State Technical University,Russian Federation
1501+,Voronezh State University,Russian Federation
1501+,Wasit University,Iraq
1501+,Wrocław University of Environmental and Life Sciences,Poland
1501+,Yamaguchi University,Japan
1501+,Yanbian University,China
1501+,Yanshan University,China
1501+,Yeditepe University,Turkey
1501+,Yerevan State University,Armenia
1501+,Yuriy Fedkovych Chernivtsi National University,Ukraine
1501+,Zonguldak Bülent Ecevit University,Turkey
Reporter,2iE -  International Institute for Water and Environmental Engineering,Burkina Faso
Reporter,Abai Kazakh National Pedagogical University,Kazakhstan
Reporter,Abbes Laghrour University of Khenchala,Algeria
Reporter,Abdelhafid Boussouf University Center of Mila,Algeria
Reporter,Abdullah Gül University,Turkey
Reporter,Abertay University,United Kingdom
Reporter,Abia State University,Nigeria
Reporter,Abrar University,Somalia
Reporter,Academia BAI - Instituto Superior de Administração e Finanças,Angola
Reporter,AECC University College,United Kingdom
Reporter,Ahlia University,Bahrain
Reporter,Ajeenkya DY Patil University,India
Reporter,Akhmet Yassawi University,Kazakhstan
Reporter,Akita Prefectural University,Japan
Reporter,Akli Mohand Oulhadj Bouira University,Algeria
Reporter,Akwa Ibom State University,Nigeria
Reporter,Al Akhawayn University,Morocco
Reporter,Al-Ameed University,Iraq
Reporter,Al-Ayen University,Iraq
Reporter,Al-Bayan University,Iraq
Reporter,Al-Esraa University,Iraq
Reporter,Alex Ekwueme Federal University Ndufu-Alike,Nigeria
Reporter,Al-Farahidi University,Iraq
Reporter,Algiers 2 University,Algeria
Reporter,Al-Iraqia University,Iraq
Reporter,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,Uzbekistan
Reporter,Al-Karkh University of Science,Iraq
Reporter,Al-Kitab University,Iraq
Reporter,AlMaarefa University,Saudi Arabia
Reporter,University of Manara,Iraq
Reporter,Almaty Humanitarian-Economic University,Kazakhstan
Reporter,Almaty Technological University,Kazakhstan
Reporter,Almazov National Medical Research Centre,Russian Federation
Reporter,Al-Mustaqbal University,Iraq
Reporter,Alnoor University,Iraq
Reporter,Al-Qalam University College,Iraq
Reporter,Al-Qasim Green University,Iraq
Reporter,Al-Quds University,Palestine
Reporter,Al-Rafidain University College,Iraq
Reporter,Al Ryada University for Science and Technology - RST,Egypt
Reporter,Al Safwa University College,Iraq
Reporter,Altoosi University,Iraq
Reporter,Al-Zahraa University for Women,Iraq
Reporter,Al-Zahrawi University College,Iraq
Reporter,Ambrose Alli University,Nigeria
Reporter,American University in Dubai,United Arab Emirates
Reporter,American University in the Emirates,United Arab Emirates
Reporter,American University of Ras Al Khaimah,United Arab Emirates
Reporter,"Amity University, Chhattisgarh",India
Reporter,"Amity University, Gwalior",India
Reporter,Amity University - Kolkata,India
Reporter,"Amity University, Mumbai",India
Reporter,Amman Arab University,Jordan
Reporter,Amref International University,Kenya
Reporter,Anáhuac University,Mexico
Reporter,Andijan Machine-Building Institute,Uzbekistan
Reporter,Andijan State Medical Institute,Uzbekistan
Reporter,Andijan State Pedagogical Institute,Uzbekistan
Reporter,Andijan State University,Uzbekistan
Reporter,Andrés Bello Catholic University,Venezuela
Reporter,Anglo-American University,Czechia
Reporter,Ankara Science University,Turkey
Reporter,Arab American University,Palestine
Reporter,Arab Open University,Kuwait
Reporter,Arak University of Technology,Iran
Reporter,Arish University,Egypt
Reporter,Arkin University of Creative Arts and Design,Northern Cyprus
Reporter,Armenian National Agrarian University,Armenia
Reporter,Arts University Bournemouth,United Kingdom
Reporter,Arts University Plymouth,United Kingdom
Reporter,Arturo Prat University,Chile
Reporter,Asahi University,Japan
Reporter,Asfendiyarov Kazakh National Medical University,Kazakhstan
Reporter,A'Sharqiyah University,Oman
Reporter,Ashikaga University,Japan
Reporter,Ashoka University,India
Reporter,Ashur University,Iraq
Reporter,Astana International University AIU,Kazakhstan
Reporter,Astana Medical University,Kazakhstan
Reporter,Atlas University,Turkey
Reporter,Atma Jaya Catholic University of Indonesia,Indonesia
Reporter,Atyrau University,Kazakhstan
Reporter,Audencia,France
Reporter,Autonomous University of Chiapas,Mexico
Reporter,Azerbaijan Medical University,Azerbaijan
Reporter,Azerbaijan State University of Economics,Azerbaijan
Reporter,Azerbaijan Technical University,Azerbaijan
Reporter,Azerbaijan University,Azerbaijan
Reporter,Azerbaijan University of Architecture and Construction,Azerbaijan
Reporter,"Bacha Khan University, Charsadda",Pakistan
Reporter,Badr University in Cairo,Egypt
Reporter,Bakrie University,Indonesia
Reporter,Baku Engineering University,Azerbaijan
Reporter,Baku Higher Oil School,Azerbaijan
Reporter,Baku Slavic University,Azerbaijan
Reporter,Bandirma Onyedi Eylül University,Turkey
Reporter,Barawa International University,Somalia
Reporter,Basrah University College of Science and Technology,Iraq
Reporter,Bath Spa University,United Kingdom
Reporter,Batterjee Medical College,Saudi Arabia
Reporter,Bayburt University,Turkey
Reporter,Baze University,Nigeria
Reporter,Beaconhouse National University,Pakistan
Reporter,Belarusian State Medical University,Belarus
Reporter,Belarusian State University of Informatics and Radioelectronics,Belarus
Reporter,Bells University of Technology,Nigeria
Reporter,Benson Idahosa University,Nigeria
Reporter,Bentley University,United States
Reporter,Beykent University,Turkey
Reporter,Bilad Alrafidain University,Iraq
Reporter,Birmingham Newman University,United Kingdom
Reporter,Biruni University,Turkey
Reporter,Bishop Grosseteste University,United Kingdom
Reporter,Bohdan Khmelnytsky National University of Cherkasy,Ukraine
Reporter,Bowen University,Nigeria
Reporter,Buckinghamshire New University,United Kingdom
Reporter,Budapest Business School,Hungary
Reporter,Bukhara State University,Uzbekistan
Reporter,Bundelkhand University,India
Reporter,Buriram Rajabhat University,Thailand
Reporter,Çağ University,Turkey
Reporter,"California State University, Chico",United States
Reporter,Canadian International College - Cairo Campus of Cape Breton University Canada,Egypt
Reporter,Catholic University in Erbil,Iraq
Reporter,Catholic University of Ávila,Spain
Reporter,Cebu Technological University,Philippines
Reporter,Central European University,Austria
Reporter,Central Luzon State University,Philippines
Reporter,Centro de Estudios para la Calidad Educativa y la Investigación Científica,Mexico
Reporter,Centro Universitário Cesuca,Brazil
Reporter,Centurion University of Technology and Management,India
Reporter,CESI,France
Reporter,CETYS Universidad,Mexico
Reporter,Chadli Bendjedid El Tarf University,Algeria
Reporter,Charmo University,Iraq
Reporter,Chernihiv Polytechnic National University,Ukraine
Reporter,Cholistan University of Veterinary and Animal Sciences,Pakistan
Reporter,Cihan University - Duhok,Iraq
Reporter,Cihan University – Erbil,Iraq
Reporter,Cihan University Sulaimaniya,Iraq
Reporter,City University of Macau,Macao
Reporter,"City University of Science and Information Technology, Peshawar",Pakistan
Reporter,Civil Aviation Academy,Kazakhstan
Reporter,College of Business Education,Tanzania
Reporter,Conservatoire for Dance and Drama,United Kingdom
Reporter,Courtauld Institute of Art,United Kingdom
Reporter,Cranfield University,United Kingdom
Reporter,Daneshpajoohan Pishro Higher Education Institute,Iran
Reporter,Dawood University of Engineering and Technology,Pakistan
Reporter,De La Salle – College of Saint Benilde,Philippines
Reporter,"Delta State University, Abraka",Nigeria
Reporter,Delta University for Science and Technology,Egypt
Reporter,Denau Institute of Entrepreneurship and Pedagogy,Uzbekistan
Reporter,Deraya University,Egypt
Reporter,Dhaka International University,Bangladesh
Reporter,DHA Suffa University,Pakistan
Reporter,Dhofar University,Oman
Reporter,Dnipro University of Technology,Ukraine
Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky,Ukraine
Reporter,Dovletmammet Azadi Turkmen National Institute of World Languages,Turkmenistan
Reporter,D. Serikbayev East Kazakhstan Technical University,Kazakhstan
Reporter,Duhok Polytechnic University,Iraq
Reporter,EAE Business School,Spain
Reporter,East West University,Bangladesh
Reporter,École Nationale Polytechnique,Algeria
Reporter,École Nationale Supérieure Agronomique,Algeria
Reporter,"École Nationale Supérieure Agronomique, Algiers",Algeria
Reporter,École Nationale Supérieure de Biotechnologie Taoufik Khaznadar,Algeria
Reporter,École Nationale Supérieure de Journalisme et des Sciences de l’Information,Algeria
Reporter,École Nationale Supérieure de Mécanique et des Microtechniques,France
Reporter,Ecole Nationale Supérieure d'Hydraulique,Algeria
Reporter,École Nationale Supérieure d’Informatique,Algeria
Reporter,École Nationale Supérieure Vétérinaire d’Alger,Algeria
Reporter,École National Polytechnique de Constantine,Algeria
Reporter,École Normale Supérieure de Béchar,Algeria
Reporter,École Normale Supérieure de Bouzaréah,Algeria
Reporter,École Normale Supérieure de Kouba,Algeria
Reporter,École Normale Supérieure de Laghouat,Algeria
Reporter,École Normale Supérieure de Ouargla,Algeria
Reporter,École Normale Supérieure d’Oran,Algeria
Reporter,École Normale Supérieure El Katiba Assia Djebar Constantine,Algeria
Reporter,École Polytechnique d’Architecture et d’Urbanisme,Algeria
Reporter,École Supérieure de Comptabilité et de Finances de Constantine,Algeria
Reporter,École Supérieure en Informatique 8 Mai 1945 de Sidi-Bel-Abbès,Algeria
Reporter,École Supérieure en Sciences Appliquées de Tlemcen,Algeria
Reporter,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique,Algeria
Reporter,Ecotec University,Ecuador
Reporter,Effat University,Saudi Arabia
Reporter,Egerton University,Kenya
Reporter,Egyptian Russian University,Egypt
Reporter,EIA University,Colombia
Reporter,Elmergib University,Libya
Reporter,Emir Abdelkader University of Islamic Sciences,Algeria
Reporter,Erbil Polytechnic University,Iraq
Reporter,Escola Superior de Enfermagem do Porto,Portugal
Reporter,Escuela Superior Politécnica de Chimborazo,Ecuador
Reporter,ESIC University,Spain
Reporter,ESLSCA University,Egypt
Reporter,Eszterházy Károly Catholic University,Hungary
Reporter,EURECOM,France
Reporter,European University,Georgia
Reporter,European University of Armenia,Armenia
Reporter,"Evangel University, Akaeze",Nigeria
Reporter,Externado University of Colombia,Colombia
Reporter,Falmouth University,United Kingdom
Reporter,Fatima Jinnah Women University,Pakistan
Reporter,"Federal University of Petroleum Resources, Effurun",Nigeria
Reporter,Fergana Polytechnic Institute,Uzbekistan
Reporter,Fergana State University,Uzbekistan
Reporter,Finis Terrae University,Chile
Reporter,Forman Christian College,Pakistan
Reporter,Francisk Skorina Gomel State University,Belarus
Reporter,Universidad Libre de Colombia,Colombia
Reporter,Gangadhar Meher University,India
Reporter,Gautam Buddha University,India
Reporter,General Sir John Kotelawala Defence University,Sri Lanka
Reporter,Gift University,Pakistan
Reporter,Glasgow School of Art,United Kingdom
Reporter,Godfrey Okoye University,Nigeria
Reporter,Gomel State Medical University,Belarus
Reporter,Government College Women University Faisalabad,Pakistan
Reporter,"Government College Women University, Sialkot",Pakistan
Reporter,Grodno State Medical University,Belarus
Reporter,Guildhall School of Music and Drama,United Kingdom
Reporter,Gulf College,Oman
Reporter,Gulf Medical University,United Arab Emirates
Reporter,Gulf University,Bahrain
Reporter,Gulf University for Science and Technology,Kuwait
Reporter,Gulistan State Pedagogical Institute,Uzbekistan
Reporter,Gulistan State University,Uzbekistan
Reporter,Habib University,Pakistan
Reporter,Hagoromo University of International Studies,Japan
Reporter,Hakuoh University,Japan
Reporter,Häme University of Applied Sciences,Finland
Reporter,Hanseo University,South Korea
Reporter,Harper Adams University,United Kingdom
Reporter,Hartpury University,United Kingdom
Reporter,Hasan Kalyoncu University,Turkey
Reporter,Hawler Medical University,Iraq
Reporter,Hebron University,Palestine
Reporter,Higher School of Management – Tlemcen,Algeria
Reporter,Hiroshima International University,Japan
Reporter,Hodeida University,Yemen
Reporter,Ho Technical University,Ghana
Reporter,Hryhorii Skovoroda University in Pereiaslav,Ukraine
Reporter,Humboldt State University,United States
Reporter,Iași University of Life Sciences,Romania
Reporter,IBADAT International University Islamabad,Pakistan
Reporter,"ICFAI University, Dehradun",India
Reporter,IFHE Hyderabad,India
Reporter,Iğdır University,Turkey
Reporter,Ilma University,Pakistan
Reporter,Imam Ja’afar Al-Sadiq University,Iraq
Reporter,IMT Mines Alès,France
Reporter,"Independent University, Bangladesh",Bangladesh
Reporter,Information Technology University of the Punjab,Pakistan
Reporter,Institute of Agriculture and Agrotechnologies of Karakalpakstan,Uzbekistan
Reporter,Institute of Cancer Research,United Kingdom
Reporter,"Institute of Engineering and Management, India",India
Reporter,University of Southern Punjab,Pakistan
Reporter,Institute of Telecommunications and Informatics of Turkmenistan,Turkmenistan
Reporter,Instituto Superior de Ciências da Educação da Huíla,Angola
Reporter,Instituto Superior de Ciências da Educação de Benguela,Angola
Reporter,Instituto Superior de Ciências da Educação do Huambo,Angola
Reporter,Instituto Superior de Ciências de Educação de Cabinda,Angola
Reporter,Instituto Superior Politécnico do Bié,Angola
Reporter,Instituto Superior Politécnico do Cuanza Sul,Angola
Reporter,Instituto Tecnológico de Buenos Aires,Argentina
Reporter,Institut Teknologi Nasional Bandung,Indonesia
Reporter,Institut Teknologi PLN,Indonesia
Reporter,International IT University,Kazakhstan
Reporter,International University of Erbil,Iraq
Reporter,International University of Rabat,Morocco
Reporter,Interregional Academy of Personnel Management,Ukraine
Reporter,Iqra University,Pakistan
Reporter,"Islamic Azad University, Shahr-e-Qods",Iran
Reporter,Israel Technological University,Ecuador
Reporter,İstanbul Nişantaşi University,Turkey
Reporter,Istanbul Okan University,Turkey
Reporter,IT STEP University,Ukraine
Reporter,IUBAT – International University of Business Agriculture and Technology,Bangladesh
Reporter,Ivano-Frankivsk National Medical University,Ukraine
Reporter,Jabir ibn Hayyan University for Medical and Pharmaceutical Sciences,Iraq
Reporter,Jadara University,Jordan
Reporter,Jaramogi Oginga Odinga University of Science and Technology,Kenya
Reporter,"Jaypee University of Engineering and Technology, Guna",India
Reporter,Jinnah Sindh Medical University,Pakistan
Reporter,Jizzakh Polytechnic Institute,Uzbekistan
Reporter,Jizzakh State Pedagogical University,Uzbekistan
Reporter,John von Neumann University,Hungary
Reporter,Kabarak University,Kenya
Reporter,Kabardino-Balkarian State University,Russian Federation
Reporter,Kamianets-Podіlskyi Ivan Ohiienko National University,Ukraine
Reporter,Karakalpak State University,Uzbekistan
Reporter,Karshi Engineering Economics Institute,Uzbekistan
Reporter,Karshi State University,Uzbekistan
Reporter,Kazakh-British Technical University,Kazakhstan
Reporter,Kazakh National Women’s Teacher Training University,Kazakhstan
Reporter,Kharkiv Humanitarian-Pedagogical Academy,Ukraine
Reporter,Kharkiv International Medical University,Ukraine
Reporter,Kharkiv National Automobile and Highway University,Ukraine
Reporter,Kharkiv National University of Internal Affairs,Ukraine
Reporter,Khazar University,Azerbaijan
Reporter,Khemis Miliana University,Algeria
Reporter,Kherson State Agrarian and Economic University,Ukraine
Reporter,Kherson State Maritime Academy,Ukraine
Reporter,Khmelnytskyi National University,Ukraine
Reporter,Khyber Medical University,Pakistan
Reporter,Kibabii University,Kenya
Reporter,Kimyo International University in Tashkent,Uzbekistan
Reporter,King Abdullah University of Science and Technology,Saudi Arabia
Reporter,King Danylo University,Ukraine
Reporter,King Edward Medical University,Pakistan
Reporter,Kinnaird College for Women,Pakistan
Reporter,Kisii University,Kenya
Reporter,Kitami Institute of Technology,Japan
Reporter,Klaipeda University,Lithuania
Reporter,Knowledge University,Iraq
Reporter,Kobe Gakuin University,Japan
Reporter,Kohsar University Murree,Pakistan
Reporter,Kokshetau State University,Kazakhstan
Reporter,Komar University of Science and Technology,Iraq
Reporter,Komazawa University,Japan
Reporter,Konan University,Japan
Reporter,Koya University,Iraq
Reporter,KPR Institute of Engineering and Technology,India
Reporter,KTO Karatay University,Turkey
Reporter,Kumasi Technical University,Ghana
Reporter,Kursk State Medical University,Russian Federation
Reporter,Central University of Europe,Georgia
Reporter,Kuwait College of Science and Technology,Kuwait
Reporter,Kyiv National Economic University,Ukraine
Reporter,Kyoai Gakuen University,Japan
Reporter,Kyoto Sangyo University,Japan
Reporter,Kyrgyz-Turkish Manas University,Kyrgyzstan
Reporter,K. Zhubanov Aktobe Regional University,Kazakhstan
Reporter,Lagos State University of Education,Nigeria
Reporter,Lagos State University of Science and Technology,Nigeria
Reporter,La Salle University,Colombia
Reporter,Law Enforcement Academy of the Republic of Uzbekistan,Uzbekistan
Reporter,Lebanese French University,Iraq
Reporter,Leeds Arts University,United Kingdom
Reporter,Leeds Conservatoire,United Kingdom
Reporter,Leeds Trinity University,United Kingdom
Reporter,Lesya Ukrainka Volyn National University,Ukraine
Reporter,Liaquat University of Medical and Health Sciences,Pakistan
Reporter,Libyan International Medical University,Libya
Reporter,Lincoln University College,Malaysia
Reporter,Liverpool Hope University,United Kingdom
Reporter,Liverpool Institute for Performing Arts,United Kingdom
Reporter,Liverpool School of Tropical Medicine,United Kingdom
Reporter,London Academy of Music and Dramatic Art,United Kingdom
Reporter,London Business School,United Kingdom
Reporter,London School of Hygiene and Tropical Medicine,United Kingdom
Reporter,Luis Amigó Catholic University,Colombia
Reporter,Lutsk National Technical University,Ukraine
Reporter,Luxor University,Egypt
Reporter,Lyceum-Northwestern University,Philippines
Reporter,Maasai Mara University,Kenya
Reporter,Machakos University,Kenya
Reporter,Magtymguly Turkmen State University,Turkmenistan
Reporter,Mahatma Jyotiba Phule Rohilkhand University,India
Reporter,Malatya Turgut Ozal University,Turkey
Reporter,Malawi University of Science and Technology,Malawi
Reporter,Manila Central University,Philippines
Reporter,Maritime University of Szczecin,Poland
Reporter,M. Auezov South Kazakhstan University,Kazakhstan
Reporter,Medizinische Hochschule Hannover,Germany
Reporter,Middle East College,Oman
Reporter,Middle East University,Jordan
Reporter,Middle East University – Lebanon,Lebanon
Reporter,Midocean University,Comoros
Reporter,Millat Umidi University,Uzbekistan
Reporter,Minhaj University Lahore,Pakistan
Reporter,Misurata University,Libya
Reporter,"MNS University of Agriculture, Multan",Pakistan
Reporter,Moscow State Linguistic University,Russian Federation
Reporter,Muban Chombueng Rajabhat University,Thailand
Reporter,Mukogawa Women’s University,Japan
Reporter,Mulungushi University,Zambia
Reporter,Musashino University,Japan
Reporter,Myrat Garryyev State Medical University of Turkmenistan,Turkmenistan
Reporter,Nagoya University of Commerce & Business,Japan
Reporter,Nakhchivan State University,Azerbaijan
Reporter,Nakhon Ratchasima Rajabhat University,Thailand
Reporter,Namal University,Pakistan
Reporter,Namangan Engineering Construction Institute,Uzbekistan
Reporter,Namangan Institute of Engineering and Technology,Uzbekistan
Reporter,Namangan State University,Uzbekistan
Reporter,"Nasarawa State University, Keffi",Nigeria
Reporter,National Defence University - Pakistan,Pakistan
Reporter,National Film and Television School,United Kingdom
Reporter,National Polytechnic University of Armenia,Armenia
Reporter,National School of Artificial Intelligence,Algeria
Reporter,National Transport University,Ukraine
Reporter,National University Odessa Law Academy,Ukraine
Reporter,National University of Food Technologies,Ukraine
Reporter,National University of Pharmacy,Ukraine
Reporter,National University of Quilmes,Argentina
Reporter,"National University of Science and Technology, Oman",Oman
Reporter,National University of Technology,Pakistan
Reporter,National University Philippines,Philippines
Reporter,"National University, Sudan",Sudan
Reporter,National University “Yuri Kondratyuk Poltava Polytechnic”,Ukraine
Reporter,Navoi State University,Uzbekistan
Reporter,Nawroz University,Iraq
Reporter,Netaji Subhas University of Technology,India
Reporter,Niger Delta University,Nigeria
Reporter,Niigata University of Health and Welfare,Japan
Reporter,Nile University of Nigeria,Nigeria
Reporter,Northeast Ohio Medical University,United States
Reporter,Norwich University of the Arts,United Kingdom
Reporter,Novosibirsk State University of Economics and Management,Russian Federation
Reporter,NSBM Green University,Sri Lanka
Reporter,Nueva Ecija University of Science and Technology,Philippines
Reporter,Nukus Innovation Institute,Uzbekistan
Reporter,October 6 University,Egypt
Reporter,Odesa National Maritime University,Ukraine
Reporter,Odesa State University of Internal Affairs,Ukraine
Reporter,Oguz Han Engineering and Technology University of Turkmenistan,Turkmenistan
Reporter,Oman Dental College,Oman
Reporter,Omar Al-Mukhtar University,Libya
Reporter,Omsk State Agrarian University,Russian Federation
Reporter,Oran Graduate School of Economics,Algeria
Reporter,Orel State Agrarian University named after N.V. Parahin,Russian Federation
Reporter,Orel State University named after I.S. Turgenev,Russian Federation
Reporter,ORT Uruguay University,Uruguay
Reporter,Ostrogradsky National University of Kremenchuk,Ukraine
Reporter,Osun State University,Nigeria
Reporter,Otemon Gakuin University,Japan
Reporter,Pacific National University,Russian Federation
Reporter,Palestine Ahliya University,Palestine
Reporter,Palestine Polytechnic University,Palestine
Reporter,Palestine Technical University – Kadoorie,Palestine
Reporter,Panteion University of Social and Political Sciences,Greece
Reporter,Panthéon-Assas University,France
Reporter,Pavlo Tychyna Uman State Pedagogical University,Ukraine
Reporter,Peoples University of Medical & Health Sciences for Women - Shaheed Benazirabad,Pakistan
Reporter,Petroleum University of Technology,Iran
Reporter,Pharos University,Egypt
Reporter,Philadelphia University,Jordan
Reporter,Philippine State College of Aeronautics,Philippines
Reporter,Plymouth Marjon University,United Kingdom
Reporter,Polis University,Albania
Reporter,Poltava State Medical University,Ukraine
Reporter,Pontificia Universidad Católica Madre y Maestra,Dominican Republic
Reporter,Positivo University,Brazil
Reporter,Presidency University,India
Reporter,PSB University Cambodia,Cambodia
Reporter,Pskov State University,Russian Federation
Reporter,PUC-Campinas,Brazil
Reporter,Qaiwan International University,Iraq
Reporter,Queen Arwa University,Yemen
Reporter,Queen Margaret University,United Kingdom
Reporter,Quezon City University,Philippines
Reporter,Q University,Kazakhstan
Reporter,Rajarata University of Sri Lanka,Sri Lanka
Reporter,RAK Medical and Health Sciences University,United Arab Emirates
Reporter,Rawalpindi Medical University,Pakistan
Reporter,Regional Autonomous University of the Andes,Ecuador
Reporter,Relizane University,Algeria
Reporter,Ritsumeikan Asia Pacific University,Japan
Reporter,Rivers State University,Nigeria
Reporter,Rome Business School,Italy
Reporter,Rose Bruford College,United Kingdom
Reporter,Rostov State University of Economics,Russian Federation
Reporter,Royal Academy of Dramatic Art,United Kingdom
Reporter,Royal Academy of Music,United Kingdom
Reporter,Royal Agricultural University,United Kingdom
Reporter,"Royal Central School of Speech and Drama, University of London",United Kingdom
Reporter,Royal College of Art,United Kingdom
Reporter,Royal College of Music,United Kingdom
Reporter,Royal Conservatoire of Scotland,United Kingdom
Reporter,Royal Northern College of Music,United Kingdom
Reporter,Russian Biotechnological University,Russian Federation
Reporter,Ryazan State Medical University,Russian Federation
Reporter,Saint Louis University,Philippines
Reporter,"Saint Thomas University, Colombia",Colombia
Reporter,Sakon Nakhon Rajabhat University,Thailand
Reporter,Samarkand Institute of Economics and Service,Uzbekistan
Reporter,Samarkand State Institute of Foreign Languages,Uzbekistan
Reporter,Samarkand State Medical University,Uzbekistan
Reporter,Samarkand State University,Uzbekistan
Reporter,Samsun University,Turkey
Reporter,Satya Wacana Christian University,Indonesia
Reporter,School of Higher Commercial Studies,Algeria
Reporter,SDU University,Kazakhstan
Reporter,Sebha University,Libya
Reporter,SEGi University,Malaysia
Reporter,Senshu University,Japan
Reporter,Seyitnazar Seydi Turkmen State Pedagogical Institute,Turkmenistan
Reporter,"Shah Abdul Latif University, Khairpur",Pakistan
Reporter,Shaheed Benazir Bhutto Women University Peshawar,Pakistan
Reporter,Shaheed Mohtarma Benazir Bhutto Medical University,Pakistan
Reporter,Shaheed Zulfiqar Ali Bhutto Medical University,Pakistan
Reporter,Silesian University in Opava,Czechia
Reporter,SIMAD University,Somalia
Reporter,Simón Bolívar University,Colombia
Reporter,Sir Syed University of Engineering and Technology,Pakistan
Reporter,Sisaket Rajabhat University,Thailand
Reporter,Sivas University of Science and Technology,Turkey
Reporter,Skolkovo Institute of Science and Technology,Russian Federation
Reporter,Social Sciences University of Ankara,Turkey
Reporter,Sohar University,Oman
Reporter,Soran University,Iraq
Reporter,Southern Technical University,Iraq
Reporter,Sphinx University,Egypt
Reporter,Sri Balaji Vidyapeeth,India
Reporter,Sri Padmavati Mahila Visvavidyalayam,India
Reporter,SR University,India
Reporter,State Energy Institute of Turkmenistan,Turkmenistan
Reporter,Stavropol State Agrarian University,Russian Federation
Reporter,Stepan Gzhytskyi National University of Veterinary Medicine and Biotechnologies of Lviv,Ukraine
Reporter,"St Mary’s University College, Belfast",United Kingdom
Reporter,"St Mary’s University, Twickenham",United Kingdom
Reporter,Stranmillis University College,United Kingdom
Reporter,Sugiyama Jogakuen University,Japan
Reporter,Sulaimani Polytechnic University,Iraq
Reporter,Sumgayit State University,Azerbaijan
Reporter,Sumy State Pedagogical University named after A.S. Makarenko,Ukraine
Reporter,Tafila Technical University,Jordan
Reporter,Takushoku University,Japan
Reporter,Tarlac Agricultural University,Philippines
Reporter,Tarsus University,Turkey
Reporter,Tashkent Institute of Chemical Technology,Uzbekistan
Reporter,Tashkent Institute of Textile and Light Industry,Uzbekistan
Reporter,Tashkent International University of Financial Management and Technology,Uzbekistan
Reporter,Tashkent Metropolitan University,Uzbekistan
Reporter,Tashkent Pediatric Medical Institute,Uzbekistan
Reporter,Tashkent Pharmaceutical Institute,Uzbekistan
Reporter,Tashkent State Dental Institute,Uzbekistan
Reporter,Tashkent State Pedagogical University named after Nizami,Uzbekistan
Reporter,Tashkent State Technical University,Uzbekistan
Reporter,Tashkent State Transport University,Uzbekistan
Reporter,Tashkent State University of Economics,Uzbekistan
Reporter,Tashkent State University of Law,Uzbekistan
Reporter,Tashkent State University of Oriental Studies,Uzbekistan
Reporter,Tata Institute of Fundamental Research,India
Reporter,T. C. Demiroğlu Bilim University,Turkey
Reporter,Teacher Education College of Setif,Algeria
Reporter,Technical University of Cotopaxi,Ecuador
Reporter,Technical University of Moldova,Moldova
Reporter,Tecmilenio University,Mexico
Reporter,Tecnológico de Costa Rica,Costa Rica
Reporter,Teerthanker Mahaveer University,India
Reporter,Termez Institute of Engineering and Technology,Uzbekistan
Reporter,The British University in Dubai,United Arab Emirates
Reporter,The Catholic University of Eastern Africa,Kenya
Reporter,The Continents States University,United States
Reporter,The Government Sadiq College Women University Bahawalpur,Pakistan
Reporter,"The Graduate University for Advanced Studies, SOKENDAI",Japan
Reporter,The Islamic University,Iraq
Reporter,The LNM Institute of Information Technology,India
Reporter,The National University of Ostroh Academy,Ukraine
Reporter,The University of Haripur,Pakistan
Reporter,The University of Shiga Prefecture,Japan
Reporter,The Women University Multan,Pakistan
Reporter,The World Islamic Sciences and Education University,Jordan
Reporter,Thomas Adewumi University,Nigeria
Reporter,Tijuana Institute of Technology,Mexico
Reporter,Tishk International University,Iraq
Reporter,Tishreen University,Syria
Reporter,Tissemsilt University,Algeria
Reporter,Togliatti State University,Russian Federation
Reporter,Tohoku Gakuin University,Japan
Reporter,Tokyo University of Foreign Studies,Japan
Reporter,Tomsk State Pedagogical University,Russian Federation
Reporter,Trinity Laban Conservatoire of Music and Dance,United Kingdom
Reporter,Turan International University,Uzbekistan
Reporter,Turkmen Agricultural Institute,Turkmenistan
Reporter,Turkmen Agricultural University named after S.A. Niyazov,Turkmenistan
Reporter,Turkmen State Architecture and Construction Institute,Turkmenistan
Reporter,Turkmen State Institute of Economics and Management,Turkmenistan
Reporter,Turkmen State Institute of Finance,Turkmenistan
Reporter,Tver State Technical University,Russian Federation
Reporter,Tver State University,Russian Federation
Reporter,Ubon Ratchathani University,Thailand
Reporter,UBT,Kosovo
Reporter,Ulyanovsk State Technical University,Russian Federation
Reporter,Ulyanovsk State University,Russian Federation
Reporter,UNESC,Brazil
Reporter,Unichristus,Brazil
Reporter,United International University,Bangladesh
Reporter,Universiapolis – Université Internationale d’Agadir,Morocco
Reporter,Universidad Autónoma de Chiriquí,Panama
Reporter,Universidad Camilo José Cela,Spain
Reporter,Universidad Católica de Colombia,Colombia
